Customer_ID,product_name,price,rating,reviews,availability,purchase_date,quantity
C023,"Amazon Basics USB Condenser Microphone for Streaming, Recording, and Podcasting on PC, Plug and Play, Cardioid Pickup, Adjustable Stand with 360° Rotation, 5.8 x 3.4 inches, Black",$34.64,4.4 out of 5 stars,75 ratings,In Stock,"Reviewed in the United States on October 26, 2024",500+ boughtin past month
C024,"Turtle Beach Stealth 600 Gen 3 Wireless Multiplatform Amplified Gaming Headset for Xbox Series X|S, Xbox One, PC, PS5, PS4, Mobile – Bluetooth, 80-Hr Battery, AI Noise-Cancelling Mic – Black",$84.99,4.0 out of 5 stars,771 ratings,In Stock,"Reviewed in the United States on June 9, 2024",20K+ bought in past month
C025,"Kavaas Gamer Neon Sign, Game Controller Neon Sign for Gamer Room Decor - Gaming Neon Sign for Teen Boy Room Decor, LED Game Neon Sign Gaming Wall decor - Best Gamer Gifts for Boys, Kids",$26.99,4.7 out of 5 stars,"3,081 ratings",In Stock,"Reviewed in the United States on December 7, 2024",10K+ boughtin past month
C026,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74","$1,272.84",4.3 out of 5 stars,"1,496 ratings",In Stock,"Reviewed in the United States on November 18, 2024",8K+ boughtin past month
C027,"MOTPK Gaming Desk with LED Lights, 60 Inch U Shaped Desk with Power Outlet, Gaming Computer Desk with Storage Shelves, PC Gaming Table with Monitor Stand&Headphone Hook, Carbon Fiber Texture, Black",$179.99,4.6 out of 5 stars,53 ratings,In Stock,"Reviewed in the United States on August 7, 2024",600+ boughtin past month
C028,"Huuger L Shaped Gaming Desk with Power Outlets & LED Lights, Computer Desk with Monitor Shelves, Carbon Fiber Surface, Home Office Desk, Corner Gaming Desk with Hooks, Carbon Fiber Black",$149.99,4.6 out of 5 stars,274 ratings,Only 18 left in stock - order soon.,"Reviewed in the United States on April 25, 2024",300+ boughtin past month
C029,"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - White",Page 1 of 1,4.6 out of 5 stars,"31,602 ratings",Not Available,"Reviewed in the United States on October 30, 2024",
C030,"Redragon M602 RGB Wired Gaming Mouse RGB Spectrum Backlit Ergonomic Mouse Griffin Programmable with 8 Backlight Modes, Up to 7200 DPI for Windows PC Gamers (Black)",$19.99,4.6 out of 5 stars,"31,138 ratings",In Stock,"Reviewed in the United States on February 16, 2021",1K+ boughtin past month
C031,"HP Victus 15.6 i5 Gaming Laptop, 15.6"" FHD 1920*1080 144Hz, Intel Core i5-12450H, NVIDIA GeForce RTX 3050, 32GB RAM, 1TB SSD, Backlit KB, Touchpad, SD Card Reader, Webcam, HDMI, Wi-Fi 6, W11 H, Blue",$629.82,4.2 out of 5 stars,44 ratings,Only 6 left in stock - order soon.,"Reviewed in the United States on November 1, 2024",500+ bought in past month
C032,"Govee Smart LED Light Bars, Work with Alexa and Google Assistant, RGBICWW WiFi TV Backlights with Scene and Music Modes for Gaming, Pictures, PC, Room Decoration",$29.99,4.6 out of 5 stars,"5,555 ratings",In Stock,"Reviewed in the United States on November 4, 2024",10K+ bought in past month
C033,"Sceptre New 27-inch Gaming Monitor 100Hz 1ms DisplayPort HDMI x2 100% sRGB AMD FreeSync Build-in Speakers, Eye Care Frameless Machine Black 2024 (E275W-FW100T)",$97.97,4.5 out of 5 stars,"33,795 ratings",In Stock,"Reviewed in the United States on December 1, 2024",10K+ boughtin past month
C034,Large RGB Gaming Mouse Pad -15 Light Modes Touch Control Extended Soft Computer Keyboard Mat Non-Slip Rubber Base for Gamer Esports Pros 31.5X11.8 in,$11.99,4.6 out of 5 stars,"4,443 ratings",In Stock,"Reviewed in the United States on November 13, 2024",6K+ boughtin past month
C035,"Frigidaire EFMIS179 Gaming Light Up Mini Beverage Refrigerator, Stealth",$38.63,3.9 out of 5 stars,680 ratings,,"Reviewed in the United States on November 19, 2024",1K+ boughtin past month
